,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
37567,37568,37568,8,등등,' 등등 평소 아이들이 궁금했던걸 말로 하면,NA,NA,NA,NA
37568,37569,37569,8,등등,등등 선택이 가능해요,NA,NA,NA,NA
37569,37570,37570,8,등등,' 무슨 프로그램 틀어줘 ' 등등,NA,NA,NA,NA
37570,37571,37571,8,등등,' 무슨 프로그램 틀어줘 ' 등등 남편이랑 괜히 계속기가지니 뭐해줘기가지니 이거해줘,NA,NA,NA,NA
37571,37572,37572,8,등등,등등 음성으로 장르별 영화 주문하면 추천해주는,NA,NA,NA,NA
37572,37573,37573,8,등등,오늘 기분이 우울해 또는 놀아줘 등등 즉흥적인 질문에도 답변을 잘해줘서 혼자놀기도,NA,NA,NA,NA
37573,37574,37574,8,등등,있구요 음성인식이가능해서 호출명 - 기가지니지니야 등등,NA,NA,NA,NA
37574,37575,37575,8,등등,등등 명령하면 재깍재깍 알아서 틀어줍니다 ㅋㅋ,NA,NA,NA,NA
37575,37576,37576,8,등등,홈 IOT 기기 제어 영상통화 등등 다양한 기능을 가지고 잇어서 우리들의,NA,NA,NA,NA
37576,37577,37577,8,등등,어메니티 ( 샤워젤 샴푸 타월 등등 ) 요청이었습니다,NA,NA,NA,NA
37577,37578,37578,8,등등,밖에도 날씨 일정 라디오 뉴스 등등 음성인식 기능이 충실하게 구현된 편입니다,NA,NA,NA,NA
37578,37579,37579,8,등등,사회 / 문화 / 스포츠 등등 ) 를 보여주고 제일 좋은,NA,NA,NA,NA
37579,37580,37580,8,등등,등등,NA,NA,NA,NA
37580,37581,37581,8,등등,등등 정말 탐색하는 재미가 있네요,NA,NA,NA,NA
37581,37582,37582,8,등등,로봇 슈트 비행 능력 증강현실 등등,NA,NA,NA,NA
37582,37583,37583,8,등등,드라마 마지막회 틀어줘 ' 등등 다양한음성인식 기능을 사용할 수 있는데요,NA,NA,NA,NA
37583,37584,37584,8,등등,외에도 신나는 음악 째즈 빗소리 등등 여러 가지 시도해보세요,NA,NA,NA,NA
37584,37585,37585,8,등등,' 지니야 티비 꺼줘 ' 등등,NA,NA,NA,NA
37585,37586,37586,8,등등,SBS 틀어줘 7 번 틀어줘 등등 이런거는 껌,NA,NA,NA,NA
37586,37587,37587,8,등등,뉴스 라디오 날씨 알람 지식검색 등등 이용할 수 있지만올레 tv 인터넷전화,NA,NA,NA,NA
